generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
267,2024-06-30 00:46:31,2024-06-30 00:48:30,119,0.1780900262845906,128,34176
268,2024-06-30 00:48:30,2024-06-30 00:50:28,118,0.1780892566764765,128,34304
269,2024-06-30 00:50:28,2024-06-30 00:52:25,117,0.1780992942136725,128,34432
270,2024-06-30 00:52:25,2024-06-30 00:54:22,117,0.1783078451815881,128,34560
271,2024-06-30 00:54:22,2024-06-30 00:56:23,121,0.17830256203126552,128,34688
272,2024-06-30 00:56:23,2024-06-30 00:58:21,118,0.17838869019267983,128,34816
273,2024-06-30 00:58:21,2024-06-30 01:00:18,117,0.17843537572478907,128,34944
274,2024-06-30 01:00:18,2024-06-30 01:02:14,116,0.17842461179233246,128,35072
275,2024-06-30 01:02:14,2024-06-30 01:04:12,118,0.17841231865602983,128,35200
276,2024-06-30 01:04:12,2024-06-30 01:06:11,119,0.17849984270947894,128,35328
277,2024-06-30 01:06:11,2024-06-30 01:08:08,117,0.17848648072682385,128,35456
278,2024-06-30 01:08:08,2024-06-30 01:10:05,117,0.17852276554694793,128,35584
279,2024-06-30 01:10:05,2024-06-30 01:12:01,116,0.17854167774327548,128,35712
280,2024-06-30 01:12:01,2024-06-30 01:13:59,118,0.17860479100362284,128,35840
281,2024-06-30 01:13:59,2024-06-30 01:15:56,117,0.1785326510598015,128,35968
282,2024-06-30 01:15:56,2024-06-30 01:17:53,117,0.1785041057800993,128,36096
283,2024-06-30 01:17:53,2024-06-30 01:19:51,118,0.17847681711290322,128,36224
284,2024-06-30 01:19:51,2024-06-30 01:21:47,116,0.17848921912017368,128,36352
285,2024-06-30 01:21:47,2024-06-30 01:23:44,117,0.1784900959830025,128,36480
286,2024-06-30 01:23:44,2024-06-30 01:25:47,123,0.1784892574943921,128,36608
287,2024-06-30 01:25:47,2024-06-30 01:27:47,120,0.17847434536744414,128,36736
288,2024-06-30 01:27:47,2024-06-30 01:29:44,117,0.1784765682540943,128,36864
289,2024-06-30 01:29:44,2024-06-30 01:31:43,119,0.1785221099987345,128,36992
290,2024-06-30 01:31:43,2024-06-30 01:33:40,117,0.17846072866424317,128,37120
291,2024-06-30 01:33:40,2024-06-30 01:35:36,116,0.17858838436856084,128,37248
292,2024-06-30 01:35:36,2024-06-30 01:37:33,117,0.17859423884910677,128,37376
293,2024-06-30 01:37:33,2024-06-30 01:39:30,117,0.17856746902267992,128,37504
294,2024-06-30 01:39:30,2024-06-30 01:41:28,118,0.17854548049585608,128,37632
295,2024-06-30 01:41:28,2024-06-30 01:43:24,116,0.1784425063009677,128,37760
296,2024-06-30 01:43:24,2024-06-30 01:45:22,118,0.17846921182203476,128,37888
297,2024-06-30 01:45:22,2024-06-30 01:47:18,116,0.1785004761780645,128,38016
298,2024-06-30 01:47:18,2024-06-30 01:49:15,117,0.17849351633138963,128,38144
299,2024-06-30 01:49:15,2024-06-30 01:51:15,120,0.17848123074580644,128,38272
300,2024-06-30 01:51:15,2024-06-30 01:53:12,117,0.17850335507459061,128,38400
301,2024-06-30 01:53:12,2024-06-30 01:55:10,118,0.17855643586637715,128,38528
302,2024-06-30 01:55:10,2024-06-30 01:57:07,117,0.17856808282823822,128,38656
303,2024-06-30 01:57:07,2024-06-30 01:59:04,117,0.17865559108660056,128,38784
304,2024-06-30 01:59:04,2024-06-30 02:01:01,117,0.1786549752115633,128,38912
305,2024-06-30 02:01:01,2024-06-30 02:03:00,119,0.1786557767198512,128,39040
306,2024-06-30 02:03:00,2024-06-30 02:04:57,117,0.1786465665640447,128,39168
307,2024-06-30 02:04:57,2024-06-30 02:06:54,117,0.17860291669744413,128,39296
308,2024-06-30 02:06:54,2024-06-30 02:08:50,116,0.17859171170923074,128,39424
309,2024-06-30 02:08:50,2024-06-30 02:10:47,117,0.17864070204774196,128,39552
310,2024-06-30 02:10:47,2024-06-30 02:12:50,123,0.17865801258486352,128,39680
311,2024-06-30 02:12:50,2024-06-30 02:14:47,117,0.1786428958051613,128,39808
312,2024-06-30 02:14:47,2024-06-30 02:16:43,116,0.178622883034665,128,39936
313,2024-06-30 02:16:43,2024-06-30 02:18:40,117,0.17860667538756825,128,40064
314,2024-06-30 02:18:40,2024-06-30 02:20:36,116,0.17860834163064515,128,40192
